               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11203,            0.029737,            0.025582,          0.00066578,               0.125,          0.00046133,          9.2266e-05,            0.038549,            0.022767,            0.009036,              0.0973,              0.0003,              0.0003
                   1,             0.10185,            0.030002,            0.027145,           0.0033352,               0.875,           0.0041829,          0.00055372,            0.035919,            0.021392,            0.009209,            0.093677,           0.0006769,           0.0006769
                   2,            0.072612,             0.02951,            0.019452,           0.0033438,                   1,           0.0078736,           0.0020608,            0.030278,            0.019459,           0.0093475,            0.090027,           0.0010274,           0.0010274
                   3,            0.097714,            0.031456,            0.024135,           0.0029128,               0.875,            0.014703,           0.0038931,            0.024463,             0.01762,           0.0093938,            0.086352,           0.0013515,           0.0013515
                   4,            0.073033,             0.02907,            0.024259,            0.002915,               0.875,            0.013866,            0.003798,            0.024699,             0.01673,           0.0093877,            0.082649,           0.0016492,           0.0016492
                   5,             0.06903,            0.031237,            0.023749,           0.0029153,               0.875,            0.038814,            0.007607,            0.024888,            0.015769,            0.009168,            0.078921,           0.0019205,           0.0019205
                   6,            0.059587,            0.028084,            0.019889,           0.0029348,               0.875,            0.021875,            0.004041,            0.025526,            0.014813,           0.0092009,            0.075165,           0.0021654,           0.0021654
                   7,            0.059041,            0.030832,            0.021196,           0.0033382,                   1,            0.044989,            0.013235,            0.025306,             0.01365,           0.0087111,            0.071384,           0.0023839,           0.0023839
                   8,            0.062968,            0.029141,             0.02039,           0.0033356,                   1,            0.021519,           0.0058106,            0.024756,            0.012754,           0.0091832,            0.067576,            0.002576,            0.002576
                   9,            0.056545,             0.02669,            0.020845,            0.003353,                   1,            0.035949,            0.008088,             0.02633,            0.011743,            0.009284,            0.063742,           0.0027417,           0.0027417
                  10,            0.049683,            0.028288,             0.01915,           0.0033606,                   1,            0.043495,            0.011423,            0.026276,            0.010892,           0.0090834,            0.059881,            0.002881,            0.002881
                  11,            0.046702,             0.02687,            0.017685,           0.0046318,               0.625,            0.020437,           0.0054396,            0.026239,            0.010964,           0.0088549,            0.055994,           0.0029939,           0.0029939
                  12,            0.059304,            0.025256,            0.019103,            0.017278,               0.125,             0.02995,           0.0071836,             0.02674,            0.011277,           0.0083994,             0.05208,           0.0030804,           0.0030804
                  13,            0.036932,            0.023911,            0.016064,            0.021753,               0.125,            0.035635,           0.0083181,            0.027313,            0.011434,           0.0084617,            0.048141,           0.0031405,           0.0031405
                  14,            0.040094,            0.024842,            0.016264,            0.061029,               0.375,            0.053525,            0.011941,             0.02577,            0.011306,           0.0084476,            0.044174,           0.0031742,           0.0031742
                  15,            0.047091,            0.023894,            0.016068,           0.0076131,               0.125,            0.021067,           0.0076008,            0.027794,            0.010825,           0.0081292,            0.040182,           0.0031815,           0.0031815
                  16,            0.056286,            0.022487,            0.018538,             0.13619,                 0.5,             0.17927,            0.032813,            0.025494,            0.010408,            0.008052,            0.036162,           0.0031624,           0.0031624
                  17,            0.040748,              0.0229,            0.016126,            0.069536,               0.125,            0.057195,            0.012924,            0.027908,           0.0098184,           0.0081599,            0.032117,           0.0031169,           0.0031169
                  18,            0.053741,             0.02158,            0.015732,             0.15497,               0.125,            0.067359,            0.015891,            0.028742,           0.0092468,           0.0080373,            0.028045,            0.003045,            0.003045
                  19,            0.040112,            0.021599,            0.014988,             0.14992,               0.125,             0.07775,            0.017426,            0.027621,            0.008761,            0.007926,            0.023947,           0.0029467,           0.0029467
                  20,            0.046664,            0.022993,            0.016358,             0.19453,               0.125,            0.098302,            0.029378,            0.028182,           0.0077519,           0.0078857,            0.019822,            0.002822,            0.002822
                  21,            0.060498,            0.020914,            0.016327,            0.077903,                0.25,             0.10853,            0.022245,            0.028321,           0.0073447,           0.0080086,            0.015671,           0.0026709,           0.0026709
                  22,            0.038413,            0.021887,            0.014233,              0.3096,                0.25,             0.20432,            0.036134,              0.0282,            0.007015,           0.0081114,            0.011493,           0.0024934,           0.0024934
                  23,            0.042271,            0.019131,            0.016029,            0.039702,               0.125,            0.062268,            0.019792,            0.028171,             0.00665,           0.0081626,           0.0072895,           0.0022895,           0.0022895
                  24,            0.044846,            0.020195,            0.020095,             0.12001,               0.125,             0.11004,            0.025927,            0.026841,           0.0064616,           0.0082342,           0.0030592,           0.0020592,           0.0020592
                  25,             0.04311,            0.021872,            0.015587,             0.13248,               0.125,             0.18335,             0.03687,            0.026412,           0.0062581,           0.0082963,             0.00175,             0.00175,             0.00175
                  26,            0.039719,            0.019939,            0.017275,            0.042485,               0.125,            0.076078,            0.017608,            0.027002,           0.0060804,           0.0083994,             0.00175,             0.00175,             0.00175
                  27,            0.036292,             0.02249,            0.014181,             0.27748,                0.25,             0.22208,            0.033319,            0.025158,           0.0060705,           0.0083781,             0.00142,             0.00142,             0.00142
                  28,            0.040165,            0.021302,            0.014791,             0.28088,                0.25,             0.20361,            0.031519,            0.026263,           0.0059772,           0.0084358,             0.00109,             0.00109,             0.00109
                  29,            0.039401,            0.021042,            0.015013,             0.28409,                0.25,             0.21046,            0.034343,            0.025471,           0.0059608,           0.0084282,             0.00076,             0.00076,             0.00076
