               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.042608,            0.018279,            0.010546,            0.045395,                0.25,            0.067412,            0.015532,            0.026029,           0.0042203,           0.0069486,            0.004225,            0.004225,            0.004225
                  37,            0.041674,             0.01661,            0.016373,            0.094238,             0.23379,            0.087242,             0.02418,            0.023515,           0.0043182,           0.0064072,             0.00406,             0.00406,             0.00406
                  38,            0.043476,             0.01772,            0.010257,             0.12275,                0.25,             0.10576,            0.022091,            0.023595,           0.0042585,           0.0065508,            0.003895,            0.003895,            0.003895
                  39,            0.028203,             0.01833,            0.010454,            0.096797,                0.25,             0.11922,            0.034331,            0.022882,           0.0042578,           0.0061614,             0.00373,             0.00373,             0.00373
                  40,            0.042702,            0.016617,           0.0098028,            0.044456,               0.125,            0.092369,            0.024893,            0.025172,           0.0041692,           0.0059564,            0.003565,            0.003565,            0.003565
                  41,            0.023297,            0.016972,           0.0080797,             0.05195,               0.125,            0.082392,            0.022985,            0.023494,           0.0043131,           0.0057451,              0.0034,              0.0034,              0.0034
                  42,            0.039228,            0.014993,           0.0070414,             0.12002,               0.125,             0.14222,            0.031634,            0.026299,             0.00414,           0.0057869,            0.003235,            0.003235,            0.003235
                  43,            0.038138,             0.01647,           0.0079069,             0.17414,               0.125,             0.22006,             0.03823,            0.024264,           0.0043786,           0.0059872,             0.00307,             0.00307,             0.00307
                  44,            0.040116,            0.016997,           0.0080281,            0.052958,               0.125,            0.088941,            0.019052,            0.026495,           0.0042192,           0.0058908,            0.002905,            0.002905,            0.002905
                  45,              0.0345,            0.017017,           0.0075295,            0.038681,               0.125,            0.070866,            0.014763,            0.024915,           0.0042143,            0.005813,             0.00274,             0.00274,             0.00274
                  46,            0.022643,            0.015373,           0.0071935,            0.047561,               0.125,            0.086243,            0.016799,            0.027158,           0.0040251,           0.0061472,            0.002575,            0.002575,            0.002575
                  47,            0.021577,            0.015711,           0.0081215,            0.038552,               0.125,            0.046829,            0.011862,            0.024837,           0.0040918,            0.005983,             0.00241,             0.00241,             0.00241
                  48,            0.031136,            0.016752,           0.0086651,           0.0096087,                   1,            0.092154,             0.01706,            0.027503,           0.0038907,           0.0060139,            0.002245,            0.002245,            0.002245
                  49,            0.021735,             0.01641,           0.0067496,            0.095317,               0.125,            0.070216,            0.015513,            0.025643,           0.0038998,           0.0059019,             0.00208,             0.00208,             0.00208
                  50,            0.032375,            0.016618,           0.0083128,            0.048447,               0.125,            0.090602,            0.018348,             0.02727,           0.0038306,           0.0064532,            0.001915,            0.001915,            0.001915
                  51,            0.032258,            0.015752,           0.0099358,            0.080169,               0.125,            0.069755,            0.014962,            0.025341,           0.0039797,           0.0066425,             0.00175,             0.00175,             0.00175
                  52,            0.024257,            0.017571,           0.0079122,              0.1523,                0.25,             0.15431,             0.02363,            0.026004,           0.0039455,           0.0062384,            0.001585,            0.001585,            0.001585
                  53,            0.020507,            0.015506,           0.0092727,            0.090386,               0.125,             0.08322,            0.018848,            0.025686,           0.0040208,            0.006173,             0.00142,             0.00142,             0.00142
                  54,            0.018249,            0.014809,           0.0072493,            0.069769,               0.125,            0.094411,            0.023235,            0.026526,           0.0040398,           0.0054705,            0.001255,            0.001255,            0.001255
                  55,            0.026228,            0.014325,           0.0089096,            0.068208,               0.125,             0.10593,            0.021437,            0.026201,           0.0041948,            0.005644,             0.00109,             0.00109,             0.00109
                  56,            0.017655,            0.015382,           0.0079587,            0.055501,               0.125,             0.10112,            0.018285,            0.026243,           0.0042882,           0.0055928,            0.000925,            0.000925,            0.000925
                  57,            0.023654,            0.015745,           0.0069209,            0.047004,               0.125,            0.092612,            0.020637,            0.026541,           0.0043198,           0.0056893,             0.00076,             0.00076,             0.00076
                  58,             0.03235,            0.015969,            0.017982,            0.044959,               0.125,            0.080853,            0.015627,            0.026345,           0.0043954,           0.0061019,            0.000595,            0.000595,            0.000595
                  59,            0.032607,            0.016367,           0.0052867,             0.10388,                0.25,             0.11672,            0.018781,            0.026329,            0.004468,           0.0063365,             0.00043,             0.00043,             0.00043
